"Afghanistan"
"Albania"
"Algeria"
"American Samoa"
"Andorra	"
"Angola	"
"Anguilla	"
"Antarctica	"
"Antigua and Barbuda	"
"Argentina	"
"Armenia	"
"Aruba	"
"Australia	"
"Austria	"
"Azerbaijan	"
"Bahamas	"
"Bahrain	"
"Bangladesh	"
"Barbados	"
"Belarus	"
"Belgium	"
"Belize	"
"Benin	"
"Bermuda	"
"Bhutan	"
"Bolivia	"
"Bosnia-Herzegovina	"
"Botswana	"
"Brazil	"
"British Virgin Islands	"
"Brunei	"
"Bulgaria	"
"Burkina Faso	"
"Burma (Myanmar)	"
"Burundi	"
"Cambodia	"
"Cameroon	"
"Canada "
"Cape Verde Island	"
"Cayman Islands	"
"Central African Republic	"
"Chad	"
"Chile	"
"China	"
"Christmas Island	"
"Cocos Islands	"
"Colombia	"
"Comoros	"
"Cook Islands	"
"Costa Rica	"
"Croatia	"
"Cuba	"
"Cyprus	"
"Czech Republic	"
"Democratic Republic of Congo	"
"Denmark	"
"Djibouti	"
"Dominica	"
"Dominican Republic	"
"Ecuador	"
"Egypt	"
"El Salvador	"
"Equatorial Guinea	"
"Eritrea	"
"Estonia	"
"Ethiopia	"
"Faeroe Islands	"
"Falkland Islands	"
"Fiji Islands	"
"Finland	"
"France	"
"French Guiana	"
"French Polynesia	"
"Gabon	"
"Gambia	"
"Georgia	"
"Germany	"
"Ghana	"
"Gibraltar	"
"Greece	"
"Greenland	"
"Grenada	"
"Guadeloupe	"
"Guam	"
"Guatemala	"
"Guinea	"
"Guinea-Bissau	"
"Guyana	"
"Haiti	"
"Honduras	"
"Hong Kong	"
"Hungary	"
"Iceland	"
"India	"
"Indonesia	"
"Iran	"
"Iraq	"
"Ireland	"
"Israel	"
"Italy	"
"Ivory Coast	"
"Jamaica	"
"Japan	"
"Jordan	"
"Kazakhstan	"
"Kenya	"
"Kiribati	"
"Kuwait	"
"Kyrgyzstan	"
"Laos	"
"Latvia	"
"Lebanon	"
"Lesotho	"
"Liberia	"
"Libya	"
"Liechtenstein	"
"Lithuania	"
"Luxembourg	"
"Macau	"
"Macedonia	"
"Madagascar	"
"Malawi	"
"Malaysia	"
"Maldives	"
"Mali	"
"Malta	"
"Marshall Islands	"
"Martinique	"
"Mauritania	"
"Mauritius	"
"Mayotte Island	"
"Mexico	"
"Micronesia	"
"Moldova	"
"Monaco	"
"Mongolia	"
"Montenegro	"
"Montserrat	"
"Morocco	"
"Mozambique	"
"Namibia	"
"Nauru	"
"Nepal	"
"Netherlands Antilles	"
"Netherlands	"
"New Caledonia	"
"New Zealand	"
"Nicaragua	"
"Niger	"
"Nigeria	"
"Niue	"
"Norfolk Island	"
"North Korea	"
"Norway	"
"Oman	"
"Pakistan	"
"Palau	"
"Palestine	"
"Panama	"
"Papua New Guinea	"
"Paraguay	"
"Peru	"
"Philippines	"
"Poland	"
"Portugal	"
"Puerto Rico	"
"Qatar	"
"Republic of Congo	"
"Reunion Island	"
"Romania	"
"Russia	"
"Rwanda	"
"San Marino	"
"Sao Tome & Principe	"
"Saudi Arabia	"
"Senegal	"
"Serbia	"
"Seychelles	"
"Sierra Leone	"
"Singapore	"
"Slovakia	"
"Slovenia	"
"Solomon Islands	"
"Somalia	"
"South Africa	"
"South Korea	"
"Spain	"
"Sri Lanka	"
"St. Helena	"
"St. Kitts	"
"St. Lucia	"
"St. Pierre & Miquelon	"
"St. Vincent	"
"Sudan	"
"Suriname	"
"Swaziland	"
"Sweden	"
"Switzerland	"
"Syria	"
"Taiwan	"
"Tajikistan	"
"Tanzania	"
"Thailand	"
"Togo	"
"Tonga	"
"Trinidad & Tobago	"
"Tunisia	"
"Turkey	"
"Turkmenistan	"
"Turks & Caicos	"
"Tuvalu	"
"Uganda	"
"Ukraine	"
"United Arab Emirates	"
"United Kingdom	"
"United States	"
"Uruguay	"
"Uzbekistan	"
"Vanuatu	"
"Vatican City	"
"Venezuela	"
"Vietnam	"
"Wallis & Futuna	"
"Western Samoa	"
"Yemen	"
"Zambia	"
"Zimbabwe	"
